Training Size,Accuracy,Precision,Recall,F1 Score
0.8,0.8297669995244888,0.7867395762132604,0.5068251871422281,0.6164970540974826
0.7,0.8294499920748137,0.7711283691183188,0.5055405810122792,0.6107091172214182
0.6,0.8247042739107174,0.7597471022128557,0.48848238482384826,0.5946391752577319
0.5,0.8184887536259451,0.7417582417582418,0.46729823282929495,0.5733765507991505
0.4,0.8144640380424014,0.744529262086514,0.4430648092065415,0.5555344598443136
